global_step,loss,wall_time_unix
1384,9.00000000,1778443098.593419
1389,9.00000000,1778443173.945309
1394,8.93750000,1778443249.968451
1399,9.25000000,1778443324.516633
1404,9.12500000,1778443401.436151
1409,8.87500000,1778443476.574653
1414,9.06250000,1778443551.149510
1419,8.81250000,1778443625.661811
1424,9.18750000,1778443701.669287
1429,9.18750000,1778443777.247393
1434,9.00000000,1778443852.470021
1439,8.93750000,1778443927.521061
1444,9.06250000,1778444002.374431
1449,8.93750000,1778444076.096497
1454,9.00000000,1778444151.783415
1459,9.12500000,1778444227.021406
1464,9.00000000,1778444302.694588
1469,9.00000000,1778444378.846612
1474,9.00000000,1778444454.550018
1479,9.12500000,1778444529.582994
1484,9.12500000,1778444604.402235
1489,9.12500000,1778444679.260282
1494,9.00000000,1778444754.921729
1499,8.87500000,1778444831.560403
1504,9.00000000,1778444908.344841
1509,9.06250000,1778444983.805021
1514,9.00000000,1778445058.547563
1519,9.00000000,1778445133.638354
1524,8.87500000,1778445209.164228
1529,9.12500000,1778445285.159173
1534,9.12500000,1778445359.673949
1539,9.18750000,1778445433.774105
1544,9.25000000,1778445511.597125
1549,9.25000000,1778445590.280629
1554,9.18750000,1778445667.944299
1559,8.81250000,1778445745.098257
1564,8.75000000,1778445822.676613
1569,9.12500000,1778445898.091717
1574,9.12500000,1778445973.904329
1579,9.00000000,1778446050.153560
1584,9.12500000,1778446125.978357
1589,9.31250000,1778446201.629383
1594,9.00000000,1778446275.926106
1599,9.25000000,1778446351.061100
1604,9.12500000,1778446426.527216
1609,9.25000000,1778446502.150563
1614,9.00000000,1778446577.410462
1619,9.25000000,1778446653.633864
1624,9.06250000,1778446730.438226
1629,9.12500000,1778446806.298615
1634,9.12500000,1778446881.413810
1639,9.12500000,1778446955.754834
1644,9.00000000,1778447030.704878
1649,9.00000000,1778447106.958203
1654,8.87500000,1778447183.273831
1659,9.12500000,1778447259.280316
1664,9.25000000,1778447334.369448
1669,9.00000000,1778447409.670053
1674,9.25000000,1778447486.917222
1679,9.12500000,1778447562.851888
1684,8.75000000,1778447637.389755
1689,9.00000000,1778447713.488734
1694,9.06250000,1778447788.728346
1699,9.18750000,1778447863.818014
1704,8.87500000,1778447941.602249
1709,8.75000000,1778448037.798157
1714,9.12500000,1778448151.455965
1719,9.00000000,1778448247.597992
1724,9.06250000,1778448332.186910
1729,9.00000000,1778448417.551042
1734,8.87500000,1778448513.029052
1739,9.12500000,1778448597.481150
1744,9.00000000,1778448678.774542
1749,9.00000000,1778448755.857963
1754,8.87500000,1778448833.635200
1759,9.12500000,1778448911.947523
1764,9.00000000,1778448988.715038
1769,9.12500000,1778449063.865206
1774,9.12500000,1778449138.556806
1779,8.87500000,1778449214.185455
1784,9.00000000,1778449288.027222
1789,9.12500000,1778449363.065683
1794,9.12500000,1778449436.955835
1799,9.00000000,1778449511.587084
1804,8.93750000,1778449585.954255
1809,9.25000000,1778449660.759160
1814,9.12500000,1778449736.630952
1819,9.00000000,1778449810.998089
1824,9.25000000,1778449885.792408
1829,8.75000000,1778449960.753475
1834,8.62500000,1778450035.728105
1839,9.12500000,1778450111.088706
1844,8.87500000,1778450185.454705
1849,9.06250000,1778450261.970582
1854,9.12500000,1778450337.680264
1859,8.93750000,1778450411.114103
1864,9.18750000,1778450486.608835
1869,9.12500000,1778450561.360058
1874,8.93750000,1778450636.894602
1879,9.12500000,1778450711.391787
1884,9.12500000,1778450786.154572
1889,8.87500000,1778450860.981851
1894,9.18750000,1778450935.255457
1899,9.25000000,1778451010.221604
1904,8.87500000,1778451084.503062
1909,9.06250000,1778451160.131805
1914,9.06250000,1778451234.450901
1919,9.12500000,1778451307.927889
1924,9.12500000,1778451382.296562
1929,8.87500000,1778451456.292675
