global_step,loss
9754,8.9375
9759,8.875
9764,8.875
9769,8.9375
9774,9.0
9779,8.75
9784,9.1875
9789,9.0
9794,9.125
9799,8.875
9804,9.0
9809,9.0625
9814,9.0
9819,9.1875
9824,9.125
9829,9.0
9834,8.9375
9839,9.125
9844,8.9375
9849,9.0
9854,9.0
9859,8.875
9864,9.0
9869,8.75
9874,9.0625
9879,9.0
9884,9.0
9889,8.875
9894,8.5625
9899,8.9375
9904,9.0
9909,8.875
9914,9.0625
9919,8.9375
9924,9.0
9929,9.0
9934,8.875
9939,9.125
9944,8.875
9949,8.9375
9954,9.0
9959,9.0
9964,8.875
9969,8.9375
9974,9.125
9979,8.8125
9984,9.0625
9989,8.875
9994,8.875
9999,9.125
10004,9.0625
10009,9.0
10014,9.25
10019,9.0
10024,9.0
10029,8.9375
10034,9.125
10039,9.0
10044,8.875
10049,9.3125
10054,9.0
10059,8.8125
10064,9.0625
10069,9.0625
10074,8.875
10079,8.875
10084,8.875
10089,8.875
10094,8.875
10099,9.0
10104,8.8125
10109,8.875
10114,8.6875
10119,9.0
10124,8.75
10129,8.9375
10134,9.0625
10139,9.125
10144,9.0
10149,9.125
10154,9.0
10159,9.0625
10164,9.0
10169,8.875
10174,8.875
10179,8.875
10184,9.0
10189,8.875
10194,8.875
10199,8.9375
10204,9.0
10209,9.0
10214,8.8125
10219,9.0
10224,9.0625
10229,8.875
10234,9.125
10239,9.0
10244,9.125
10249,8.875
10254,8.875
10259,8.8125
10264,8.875
10269,8.875
10274,9.125
10279,9.25
10284,8.8125
10289,8.8125
10294,9.0
10299,9.0
10304,8.75
10309,8.875
10314,8.875
10319,9.0
10324,9.0
10329,9.0625
10334,9.375
10339,9.0
10344,8.9375
10349,9.125
10354,9.125
10359,9.125
10364,9.0
10369,9.25
10374,9.0625
10379,8.9375
10384,9.0
10389,8.875
10394,9.125
10399,8.875
10404,9.0
10409,9.0
10414,9.125
10419,9.0
10424,8.875
10429,9.125
10434,8.8125
10439,8.875
10444,9.125
10449,9.0625
10454,9.0625
10459,9.125
10464,9.0
10469,9.125
10474,9.125
10479,9.3125
10484,8.875
