timestamp,epoch,step_in_epoch,steps_per_epoch,global_step,loss
2026-05-17T07:28:09Z,0,1081,20976,1080,8.0749
2026-05-17T07:30:37Z,0,1091,20976,1090,7.7645
2026-05-17T07:33:22Z,0,1101,20976,1100,7.8449
2026-05-17T07:35:47Z,0,1111,20976,1110,8.4972
2026-05-17T07:38:41Z,0,1121,20976,1120,8.6713
2026-05-17T07:41:45Z,0,1131,20976,1130,9.0498
2026-05-17T07:44:51Z,0,1141,20976,1140,8.0428
2026-05-17T07:48:06Z,0,1151,20976,1150,9.0896
2026-05-17T07:50:29Z,0,1161,20976,1160,8.6295
2026-05-17T07:52:52Z,0,1171,20976,1170,8.5623
2026-05-17T07:55:04Z,0,1181,20976,1180,7.693
2026-05-17T07:57:42Z,0,1191,20976,1190,8.4032
2026-05-17T07:59:49Z,0,1201,20976,1200,8.8652
2026-05-17T08:02:55Z,0,1211,20976,1210,8.5612
2026-05-17T08:04:45Z,0,1221,20976,1220,8.1825
2026-05-17T08:08:06Z,0,1231,20976,1230,8.3938
2026-05-17T08:10:01Z,0,1241,20976,1240,7.8298
2026-05-17T08:12:41Z,0,1251,20976,1250,7.9509
2026-05-17T08:15:13Z,0,1261,20976,1260,8.2162
2026-05-17T08:17:22Z,0,1271,20976,1270,8.5753
2026-05-17T08:20:10Z,0,1281,20976,1280,7.8837
2026-05-17T08:22:43Z,0,1291,20976,1290,7.8677
2026-05-17T08:25:55Z,0,1301,20976,1300,8.7097
2026-05-17T08:28:07Z,0,1311,20976,1310,7.9901
2026-05-17T08:32:15Z,0,1321,20976,1320,7.6652
2026-05-17T08:34:30Z,0,1331,20976,1330,8.1556
2026-05-17T08:37:31Z,0,1341,20976,1340,8.4725
2026-05-17T08:40:55Z,0,1351,20976,1350,8.195
2026-05-17T08:42:59Z,0,1361,20976,1360,8.3077
2026-05-17T08:46:14Z,0,1371,20976,1370,8.4283
2026-05-17T08:48:28Z,0,1381,20976,1380,7.4989
2026-05-17T08:50:53Z,0,1391,20976,1390,8.7373
2026-05-17T08:53:13Z,0,1401,20976,1400,8.8714
2026-05-17T08:55:20Z,0,1411,20976,1410,7.7433
2026-05-17T08:57:25Z,0,1421,20976,1420,8.2203
2026-05-17T09:00:52Z,0,1431,20976,1430,8.8308
2026-05-17T09:02:45Z,0,1441,20976,1440,8.5356
2026-05-17T09:05:08Z,0,1451,20976,1450,8.3362
2026-05-17T09:08:06Z,0,1461,20976,1460,7.5775
2026-05-17T09:11:17Z,0,1471,20976,1470,8.2405
2026-05-17T09:13:51Z,0,1481,20976,1480,7.3697
2026-05-17T09:16:02Z,0,1491,20976,1490,8.7405
